Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
TE,Mike Gesicki (11587066),Mike Gesicki,11587066,TE/FLEX,2600,MIA@GB 11/11/2018 04:25PM ET,MIA,3.4
DST,Lions  (11586290),Lions ,11586290,DST,2600,DET@CHI 11/11/2018 01:00PM ET,DET,5.62
TE,Jermaine Gresham (11586389),Jermaine Gresham,11586389,TE/FLEX,2600,ARI@KC 11/11/2018 01:00PM ET,ARI,1.97
TE,Cameron Brate (11586594),Cameron Brate,11586594,TE/FLEX,2600,WAS@TB 11/11/2018 01:00PM ET,TB,5.49
TE,Dallas Goedert (11587000),Dallas Goedert,11587000,TE/FLEX,2600,DAL@PHI 11/11/2018 08:20PM ET,PHI,6.85
TE,Gerald Everett (11587080),Gerald Everett,11587080,TE/FLEX,2600,SEA@LAR 11/11/2018 04:25PM ET,LAR,3.29
TE,Antonio Gates (11586336),Antonio Gates,11586336,TE/FLEX,2600,LAC@OAK 11/11/2018 04:05PM ET,LAC,4.04
TE,Logan Thomas (11586540),Logan Thomas,11586540,TE/FLEX,2600,BUF@NYJ 11/11/2018 01:00PM ET,BUF,2.44
TE,Clark Harris (11586329),Clark Harris,11586329,TE/FLEX,2500,NO@CIN 11/11/2018 01:00PM ET,CIN,0
TE,Matt Lengel (11586536),Matt Lengel,11586536,TE/FLEX,2500,NO@CIN 11/11/2018 01:00PM ET,CIN,0.47
TE,Tyler Eifert (11586545),Tyler Eifert,11586545,TE/FLEX,2500,NO@CIN 11/11/2018 01:00PM ET,CIN,9.72
TE,Tyler Kroft (11586673),Tyler Kroft,11586673,TE/FLEX,2500,NO@CIN 11/11/2018 01:00PM ET,CIN,1.52
TE,Jordan Franks (11587076),Jordan Franks,11587076,TE/FLEX,2500,NO@CIN 11/11/2018 01:00PM ET,CIN,4.2
TE,Dan Arnold (11587137),Dan Arnold,11587137,TE/FLEX,2500,NO@CIN 11/11/2018 01:00PM ET,NO,1.38
DST,Falcons  (11586280),Falcons ,11586280,DST,2500,ATL@CLE 11/11/2018 01:00PM ET,ATL,3.12
TE,Darren Fells (11586353),Darren Fells,11586353,TE/FLEX,2500,ATL@CLE 11/11/2018 01:00PM ET,CLE,2.33
TE,Logan Paulsen (11586368),Logan Paulsen,11586368,TE/FLEX,2500,ATL@CLE 11/11/2018 01:00PM ET,ATL,1.6
TE,Orson Charles (11586558),Orson Charles,11586558,TE/FLEX,2500,ATL@CLE 11/11/2018 01:00PM ET,CLE,0.2
TE,Pharaoh Brown (11586791),Pharaoh Brown,11586791,TE/FLEX,2500,ATL@CLE 11/11/2018 01:00PM ET,CLE,0
TE,Eric Saubert (11586830),Eric Saubert,11586830,TE/FLEX,2500,ATL@CLE 11/11/2018 01:00PM ET,ATL,0.45
TE,Marcedes Lewis (11586323),Marcedes Lewis,11586323,TE/FLEX,2500,MIA@GB 11/11/2018 04:25PM ET,GB,0.19
TE,Lance Kendricks (11586387),Lance Kendricks,11586387,TE/FLEX,2500,MIA@GB 11/11/2018 04:25PM ET,GB,2.46
TE,A.J. Derby (11586578),A.J. Derby,11586578,TE/FLEX,2500,MIA@GB 11/11/2018 04:25PM ET,MIA,3.83
TE,Robert Tonyan (11586787),Robert Tonyan,11586787,TE/FLEX,2500,MIA@GB 11/11/2018 04:25PM ET,GB,0
TE,Durham Smythe (11586963),Durham Smythe,11586963,TE/FLEX,2500,MIA@GB 11/11/2018 04:25PM ET,MIA,0
TE,Niles Paul (11586443),Niles Paul,11586443,TE/FLEX,2500,JAX@IND 11/11/2018 01:00PM ET,JAX,3.25
TE,Ryan Hewitt (11586527),Ryan Hewitt,11586527,TE/FLEX,2500,JAX@IND 11/11/2018 01:00PM ET,IND,0
TE,Blake Bell (11586572),Blake Bell,11586572,TE/FLEX,2500,JAX@IND 11/11/2018 01:00PM ET,JAX,1.15
TE,Erik Swoope (11586586),Erik Swoope,11586586,TE/FLEX,2500,JAX@IND 11/11/2018 01:00PM ET,IND,6.66
TE,James O'Shaughnessy (11586588),James O'Shaughnessy,11586588,TE/FLEX,2500,JAX@IND 11/11/2018 01:00PM ET,JAX,3.18
TE,Austin Seferian-Jenkins (11586682),Austin Seferian-Jenkins,11586682,TE/FLEX,2500,JAX@IND 11/11/2018 01:00PM ET,JAX,5.2
TE,David Grinnage (11586810),David Grinnage,11586810,TE/FLEX,2500,JAX@IND 11/11/2018 01:00PM ET,JAX,4.03
TE,Mo Alie-Cox (11586869),Mo Alie-Cox,11586869,TE/FLEX,2500,JAX@IND 11/11/2018 01:00PM ET,IND,4.6
TE,Patrick Scales (11586436),Patrick Scales,11586436,TE/FLEX,2500,DET@CHI 11/11/2018 01:00PM ET,CHI,0
TE,Luke Willson (11586493),Luke Willson,11586493,TE/FLEX,2500,DET@CHI 11/11/2018 01:00PM ET,DET,2.31
TE,Levine Toilolo (11586530),Levine Toilolo,11586530,TE/FLEX,2500,DET@CHI 11/11/2018 01:00PM ET,DET,0.89
TE,Dion Sims (11586553),Dion Sims,11586553,TE/FLEX,2500,DET@CHI 11/11/2018 01:00PM ET,CHI,0.36
TE,Daniel Brown (11586648),Daniel Brown,11586648,TE/FLEX,2500,DET@CHI 11/11/2018 01:00PM ET,CHI,0
TE,Ben Braunecker (11586789),Ben Braunecker,11586789,TE/FLEX,2500,DET@CHI 11/11/2018 01:00PM ET,CHI,0
TE,Michael Roberts (11586961),Michael Roberts,11586961,TE/FLEX,2500,DET@CHI 11/11/2018 01:00PM ET,DET,6.1
TE,Adam Shaheen (11587131),Adam Shaheen,11587131,TE/FLEX,2500,DET@CHI 11/11/2018 01:00PM ET,CHI,0
TE,John Phillips (11586379),John Phillips,11586379,TE/FLEX,2500,ARI@KC 11/11/2018 01:00PM ET,ARI,0
TE,James Winchester (11586500),James Winchester,11586500,TE/FLEX,2500,ARI@KC 11/11/2018 01:00PM ET,KC,0
TE,Demetrius Harris (11586702),Demetrius Harris,11586702,TE/FLEX,2500,ARI@KC 11/11/2018 01:00PM ET,KC,3.3
TE,Deon Yelder (11586969),Deon Yelder,11586969,TE/FLEX,2500,ARI@KC 11/11/2018 01:00PM ET,KC,0
TE,Delanie Walker (11586332),Delanie Walker,11586332,TE/FLEX,2500,NE@TEN 11/11/2018 01:00PM ET,TEN,9.2
TE,Luke Stocker (11586393),Luke Stocker,11586393,TE/FLEX,2500,NE@TEN 11/11/2018 01:00PM ET,TEN,2.74
TE,Beau Brinkley (11586480),Beau Brinkley,11586480,TE/FLEX,2500,NE@TEN 11/11/2018 01:00PM ET,TEN,0
TE,Dwayne Allen (11586484),Dwayne Allen,11586484,TE/FLEX,2500,NE@TEN 11/11/2018 01:00PM ET,NE,0.41
TE,MyCole Pruitt (11586592),MyCole Pruitt,11586592,TE/FLEX,2500,NE@TEN 11/11/2018 01:00PM ET,TEN,0
TE,Jacob Hollister (11586849),Jacob Hollister,11586849,TE/FLEX,2500,NE@TEN 11/11/2018 01:00PM ET,NE,2.17
